Gene 	Phase
ENSG00000119640 	G1/S
ENSG00000169188 	G1/S
ENSG00000156802 	G1/S
ENSG00000105173 	G1/S
ENSG00000094804 	G1/S
ENSG00000164649 	G1/S
ENSG00000167670 	G1/S
ENSG00000092853 	G1/S
ENSG00000159147 	G1/S
ENSG00000143476 	G1/S
ENSG00000101412 	G1/S
ENSG00000131153 	G1/S
ENSG00000112312 	G1/S
ENSG00000119969 	G1/S
ENSG00000116679 	G1/S
ENSG00000073111 	G1/S
ENSG00000104738 	G1/S
ENSG00000100297 	G1/S
ENSG00000132780 	G1/S
ENSG00000132646 	G1/S
ENSG00000145604 	G1/S
ENSG00000163950 	G1/S
ENSG00000163781 	G1/S
ENSG00000276043 	G1/S
ENSG00000092470 	G1/S
ENSG00000165724 	G1/S
ENSG00000105011 	S
ENSG00000156802 	S
ENSG00000012048 	S
ENSG00000175455 	S
ENSG00000146670 	S
ENSG00000100162 	S
ENSG00000228716 	S
ENSG00000106462 	S
ENSG00000187741 	S
ENSG00000168496 	S
ENSG00000119969 	S
ENSG00000197061 	S
ENSG00000006576 	S
ENSG00000127564 	S
ENSG00000111247 	S
ENSG00000101773 	S
ENSG00000049541 	S
ENSG00000117748 	S
ENSG00000167325 	S
ENSG00000171848 	S
ENSG00000131747 	S
ENSG00000176890 	S
ENSG00000077152 	S
ENSG00000162607 	S
ENSG00000122952 	S
ENSG00000011426 	G2/M
ENSG00000104442 	G2/M
ENSG00000178999 	G2/M
ENSG00000154473 	G2/M
ENSG00000145386 	G2/M
ENSG00000111665 	G2/M
ENSG00000134690 	G2/M
ENSG00000170312 	G2/M
ENSG00000123080 	G2/M
ENSG00000120334 	G2/M
ENSG00000136108 	G2/M
ENSG00000136485 	G2/M
ENSG00000132002 	G2/M
ENSG00000101447 	G2/M
ENSG00000188486 	G2/M
ENSG00000164104 	G2/M
ENSG00000138182 	G2/M
ENSG00000137807 	G2/M
ENSG00000182481 	G2/M
ENSG00000143815 	G2/M
ENSG00000113368 	G2/M
ENSG00000164109 	G2/M
ENSG00000165304 	G2/M
ENSG00000129534 	G2/M
ENSG00000137804 	G2/M
ENSG00000166965 	G2/M
ENSG00000164105 	G2/M
ENSG00000113810 	G2/M
ENSG00000137203 	G2/M
ENSG00000120802 	G2/M
ENSG00000131747 	G2/M
ENSG00000116830 	G2/M
ENSG00000196230 	G2/M
ENSG00000188229 	G2/M
ENSG00000175063 	G2/M
ENSG00000011426 	M
ENSG00000143401 	M
ENSG00000170540 	M
ENSG00000087586 	M
ENSG00000089685 	M
ENSG00000145386 	M
ENSG00000157456 	M
ENSG00000117399 	M
ENSG00000101224 	M
ENSG00000004897 	M
ENSG00000111665 	M
ENSG00000115163 	M
ENSG00000117724 	M
ENSG00000138180 	M
ENSG00000136108 	M
ENSG00000175216 	M
ENSG00000173207 	M
ENSG00000123975 	M
ENSG00000024526 	M
ENSG00000139734 	M
ENSG00000114346 	M
ENSG00000111206 	M
ENSG00000075218 	M
ENSG00000072571 	M
ENSG00000109971 	M
ENSG00000142945 	M
ENSG00000170759 	M
ENSG00000118193 	M
ENSG00000138182 	M
ENSG00000143815 	M
ENSG00000129534 	M
ENSG00000148773 	M
ENSG00000204899 	M
ENSG00000010292 	M
ENSG00000110713 	M
ENSG00000137804 	M
ENSG00000168078 	M
ENSG00000166851 	M
ENSG00000068489 	M
ENSG00000116560 	M
ENSG00000171241 	M
ENSG00000013810 	M
ENSG00000149483 	M
ENSG00000088325 	M
ENSG00000071539 	M
ENSG00000188229 	M
ENSG00000100526 	M/G1
ENSG00000088986 	M/G1
ENSG00000170759 	M/G1
ENSG00000133703 	M/G1
ENSG00000145220 	M/G1
ENSG00000123562 	M/G1
ENSG00000122140 	M/G1
ENSG00000069275 	M/G1
ENSG00000108256 	M/G1
ENSG00000111845 	M/G1
ENSG00000168078 	M/G1
ENSG00000113575 	M/G1
ENSG00000198901 	M/G1
ENSG00000164611 	M/G1
ENSG00000132341 	M/G1
ENSG00000169371 	M/G1
ENSG00000112081 	M/G1
ENSG00000149483 	M/G1
ENSG00000198900 	M/G1
